work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,AI Engineer,90000,USD,90000,AE,0,AE,L
2024,SE,FT,Machine Learning Engineer,180500,USD,180500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,96200,USD,96200,US,0,US,M
2024,SE,FT,Machine Learning Engineer,235000,USD,235000,AU,0,AU,M
2024,SE,FT,Machine Learning Engineer,175000,USD,175000,AU,0,AU,M
2024,MI,FT,Business Intelligence Developer,95413,USD,95413,US,100,US,M
2024,MI,FT,Business Intelligence Developer,70692,USD,70692,US,100,US,M
2024,SE,FT,Data Engineer,110000,USD,110000,UA,0,UA,M
2024,SE,FT,Data Engineer,48000,USD,48000,UA,0,UA,M
2024,SE,FT,Data Scientist,222300,USD,222300,US,0,US,M
2024,SE,FT,Data Scientist,119700,USD,119700,US,0,US,M
2024,SE,FT,Cloud Database Engineer,170375,USD,170375,US,100,US,M
2024,SE,FT,Cloud Database Engineer,102500,USD,102500,US,100,US,M
2024,SE,FT,Data Engineer,270000,USD,270000,AU,0,AU,M
2024,SE,FT,Data Engineer,190000,USD,190000,AU,0,AU,M
2024,MI,FT,Data Engineer,98000,USD,98000,US,0,US,M
2024,MI,FT,Data Engineer,68300,USD,68300,US,0,US,M
2024,MI,FT,Machine Learning Engineer,223100,USD,223100,US,100,US,M
2024,MI,FT,Machine Learning Engineer,126400,USD,126400,US,100,US,M
2024,SE,FT,Data Engineer,283800,USD,283800,US,100,US,M
2024,SE,FT,Data Engineer,198900,USD,198900,US,100,US,M
2024,MI,FT,Research Engineer,166000,USD,166000,US,0,US,M
2024,MI,FT,Research Engineer,73000,USD,73000,US,0,US,M
2024,EN,FT,Data Analyst,130000,USD,130000,US,0,US,M
2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,SE,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
2024,SE,FT,Machine Learning Scientist,137500,USD,137500,US,0,US,M
2024,SE,FT,Research Engineer,234000,USD,234000,US,0,US,M
2024,SE,FT,Research Engineer,146000,USD,146000,US,0,US,M
2024,EN,FT,Data Analyst,39600,EUR,44000,LT,0,LT,M
2024,EN,FT,Data Analyst,33600,EUR,37333,LT,0,LT,M
2024,SE,FT,Data Engineer,275000,USD,275000,US,100,US,M
2024,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
